time,omega_x,omega_y,omega_z,torque_x,torque_y,torque_z
0.28,0.2700000000000001,-0.25773761089434966,0.12641041850693324,1.0,-1.0,1.0
0.29,0.2800000000000001,-0.26773761089434966,0.13641041850693325,1.0,-1.0,1.0
0.3,0.2900000000000001,-0.2777376108943497,0.14641041850693326,1.0,-1.0,1.0
0.31,0.3000000000000001,-0.2877376108943497,0.15641041850693327,1.0,-1.0,1.0
0.32,0.3100000000000001,-0.2977376108943497,0.16641041850693328,1.0,-1.0,1.0
0.33,0.3200000000000001,-0.3077376108943497,0.1764104185069333,1.0,-1.0,1.0
0.34,0.3300000000000001,-0.3177376108943497,0.1864104185069333,1.0,-1.0,1.0
0.35000000000000003,0.34000000000000014,-0.3277376108943497,0.1964104185069333,1.0,-1.0,1.0
0.36,0.35000000000000014,-0.3377376108943497,0.2064104185069333,1.0,-1.0,1.0
0.37,0.36000000000000015,-0.34773761089434974,0.21641041850693332,1.0,-1.0,1.0
0.38,0.37000000000000016,-0.35773761089434974,0.22641041850693333,1.0,-1.0,1.0
0.39,0.38000000000000017,-0.36773761089434975,0.23641041850693334,1.0,-1.0,1.0
0.4,0.3900000000000002,-0.37773761089434976,0.24641041850693335,1.0,-1.0,1.0
0.41000000000000003,0.4000000000000002,-0.38773761089434977,0.25641041850693336,1.0,-1.0,1.0
0.42,0.4100000000000002,-0.3977376108943498,0.26641041850693337,1.0,-1.0,1.0
0.43,0.4200000000000002,-0.4077376108943498,0.2764104185069334,1.0,-1.0,1.0
0.44,0.4300000000000002,-0.4177376108943498,0.2864104185069334,1.0,-1.0,1.0
0.45,0.4400000000000002,-0.4277376108943498,0.2964104185069334,1.0,-1.0,1.0
0.46,0.45000000000000023,-0.4377376108943498,0.3064104185069334,1.0,-1.0,1.0
0.47000000000000003,0.46000000000000024,-0.4477376108943498,0.3164104185069334,1.0,-1.0,1.0
0.48,0.47000000000000025,-0.45773761089434983,0.3264104185069334,1.0,-1.0,1.0
0.49,0.48000000000000026,-0.46773761089434984,0.33641041850693343,1.0,-1.0,1.0
0.5,0.49000000000000027,-0.47773761089434985,0.34641041850693344,1.0,-1.0,1.0
0.51,0.5000000000000002,-0.48773761089434986,0.35641041850693345,1.0,-1.0,1.0
0.52,0.5100000000000002,-0.49773761089434987,0.36641041850693346,1.0,-1.0,1.0
0.53,0.5200000000000002,-0.5077376108943499,0.37641041850693346,1.0,-1.0,1.0
0.54,0.5300000000000002,-0.5177376108943499,0.3864104185069335,1.0,-1.0,1.0
0.55,0.5400000000000003,-0.5277376108943499,0.3964104185069335,1.0,-1.0,1.0
0.56,0.5500000000000003,-0.5377376108943499,0.4064104185069335,1.0,-1.0,1.0
0.5700000000000001,0.5600000000000003,-0.5477376108943499,0.4164104185069335,1.0,-1.0,1.0
0.58,0.5700000000000003,-0.5577376108943499,0.4264104185069335,1.0,-1.0,1.0
0.59,0.5800000000000003,-0.5677376108943499,0.4364104185069335,1.0,-1.0,1.0
0.6,0.5900000000000003,-0.5777376108943499,0.4464104185069335,1.0,-1.0,1.0
0.61,0.6000000000000003,-0.58773761089435,0.45641041850693354,1.0,-1.0,1.0
0.62,0.6100000000000003,-0.59773761089435,0.46641041850693354,1.0,-1.0,1.0
0.63,0.6200000000000003,-0.60773761089435,0.47641041850693355,1.0,-1.0,1.0
0.64,0.6300000000000003,-0.61773761089435,0.48641041850693356,1.0,-1.0,1.0
0.65,0.6400000000000003,-0.62773761089435,0.49641041850693357,1.0,-1.0,1.0
0.66,0.6500000000000004,-0.63773761089435,0.5064104185069336,1.0,-1.0,1.0
0.67,0.6600000000000004,-0.64773761089435,0.5164104185069336,1.0,-1.0,1.0
0.68,0.6700000000000004,-0.65773761089435,0.5264104185069336,1.0,-1.0,1.0
0.6900000000000001,0.6800000000000004,-0.66773761089435,0.5364104185069336,1.0,-1.0,1.0
0.7000000000000001,0.6900000000000004,-0.67773761089435,0.5464104185069336,1.0,-1.0,1.0
0.71,0.7000000000000004,-0.68773761089435,0.5564104185069336,1.0,-1.0,1.0
0.72,0.7100000000000004,-0.69773761089435,0.5664104185069336,1.0,-1.0,1.0
0.73,0.7200000000000004,-0.70773761089435,0.5764104185069336,1.0,-1.0,1.0
0.74,0.7300000000000004,-0.7177376108943501,0.5864104185069337,1.0,-1.0,1.0
0.75,0.7400000000000004,-0.7277376108943501,0.5964104185069337,1.0,-1.0,1.0
0.76,0.7500000000000004,-0.7377376108943501,0.6064104185069337,1.0,-1.0,1.0
0.77,0.7600000000000005,-0.7477376108943501,0.6164104185069337,1.0,-1.0,1.0
0.78,0.7700000000000005,-0.7577376108943501,0.6264104185069337,1.0,-1.0,1.0
0.79,0.7800000000000005,-0.7677376108943501,0.6364104185069337,1.0,-1.0,1.0
0.8,0.7900000000000005,-0.7777376108943501,0.6464104185069337,1.0,-1.0,1.0
0.81,0.8000000000000005,-0.7877376108943501,0.6564104185069337,1.0,-1.0,1.0
0.8200000000000001,0.8100000000000005,-0.7977376108943501,0.6664104185069337,1.0,-1.0,1.0
0.8300000000000001,0.8200000000000005,-0.8077376108943501,0.6764104185069337,1.0,-1.0,1.0
0.84,0.8300000000000005,-0.8177376108943502,0.6864104185069337,1.0,-1.0,1.0
0.85,0.8400000000000005,-0.8277376108943502,0.6964104185069337,1.0,-1.0,1.0
0.86,0.8500000000000005,-0.8377376108943502,0.7064104185069338,1.0,-1.0,1.0
0.87,0.8600000000000005,-0.8477376108943502,0.7164104185069338,1.0,-1.0,1.0
0.88,0.8700000000000006,-0.8577376108943502,0.7264104185069338,1.0,-1.0,1.0
0.89,0.8800000000000006,-0.8677376108943502,0.7364104185069338,1.0,-1.0,1.0
0.9,0.8900000000000006,-0.8777376108943502,0.7464104185069338,1.0,-1.0,1.0
0.91,0.9000000000000006,-0.8877376108943502,0.7564104185069338,1.0,-1.0,1.0
0.92,0.9100000000000006,-0.8977376108943502,0.7664104185069338,1.0,-1.0,1.0
0.93,0.9200000000000006,-0.9077376108943502,0.7764104185069338,1.0,-1.0,1.0
0.9400000000000001,0.9300000000000006,-0.9177376108943502,0.7864104185069338,1.0,-1.0,1.0
0.9500000000000001,0.9400000000000006,-0.9277376108943503,0.7964104185069338,1.0,-1.0,1.0
0.96,0.9500000000000006,-0.9377376108943503,0.8064104185069338,1.0,-1.0,1.0
0.97,0.9600000000000006,-0.9477376108943503,0.8164104185069339,1.0,-1.0,1.0
0.98,0.9700000000000006,-0.9577376108943503,0.8264104185069339,1.0,-1.0,1.0
0.99,0.9800000000000006,-0.9677376108943503,0.8364104185069339,1.0,-1.0,1.0
1.0,0.9900000000000007,-0.9777376108943503,0.8464104185069339,1.0,-1.0,1.0
1.01,1.0000000000000007,-0.9877376108943503,0.8564104185069339,1.0,-1.0,1.0
1.02,1.0100000000000007,-0.9977376108943503,0.8664104185069339,1.0,-1.0,1.0
1.03,1.0200000000000007,-1.0077376108943503,0.8764104185069339,1.0,-1.0,1.0
1.04,1.0300000000000007,-1.0177376108943503,0.8864104185069339,1.0,-1.0,1.0
1.05,1.0400000000000007,-1.0277376108943503,0.8964104185069339,1.0,-1.0,1.0
1.06,1.0500000000000007,-1.0377376108943503,0.9064104185069339,1.0,-1.0,1.0
1.07,1.0600000000000007,-1.0477376108943504,0.9164104185069339,1.0,-1.0,1.0
1.08,1.0700000000000007,-1.0577376108943504,0.926410418506934,1.0,-1.0,1.0
1.09,1.0800000000000007,-1.0677376108943504,0.936410418506934,1.0,-1.0,1.0
1.1,1.0900000000000007,-1.0777376108943504,0.946410418506934,1.0,-1.0,1.0
1.11,1.1000000000000008,-1.0877376108943504,0.956410418506934,1.0,-1.0,1.0
1.12,1.1100000000000008,-1.0977376108943504,0.966410418506934,1.0,-1.0,1.0
1.1300000000000001,1.1200000000000008,-1.1077376108943504,0.976410418506934,1.0,-1.0,1.0
1.1400000000000001,1.1300000000000008,-1.1177376108943504,0.986410418506934,1.0,-1.0,1.0
1.1500000000000001,1.1400000000000008,-1.1277376108943504,0.996410418506934,1.0,-1.0,1.0
1.16,1.1500000000000008,-1.1377376108943504,1.006410418506934,1.0,-1.0,1.0
1.17,1.1600000000000008,-1.1477376108943504,1.016410418506934,1.0,-1.0,1.0
1.18,1.1700000000000008,-1.1577376108943505,1.026410418506934,1.0,-1.0,1.0
1.19,1.1800000000000008,-1.1677376108943505,1.036410418506934,1.0,-1.0,1.0
1.2,1.1900000000000008,-1.1777376108943505,1.046410418506934,1.0,-1.0,1.0
1.21,1.2000000000000008,-1.1877376108943505,1.056410418506934,1.0,-1.0,1.0
1.22,1.2100000000000009,-1.1977376108943505,1.066410418506934,1.0,-1.0,1.0
1.23,1.2200000000000009,-1.2077376108943505,1.076410418506934,1.0,-1.0,1.0
1.24,1.2300000000000009,-1.2177376108943505,1.086410418506934,1.0,-1.0,1.0
1.25,1.2400000000000009,-1.2277376108943505,1.096410418506934,1.0,-1.0,1.0
1.26,1.2500000000000009,-1.2377376108943505,1.1064104185069341,1.0,-1.0,1.0
1.27,1.260000000000001,-1.2477376108943505,1.1164104185069341,1.0,-1.0,1.0
1.28,1.270000000000001,-1.2577376108943505,1.1264104185069341,1.0,-1.0,1.0
1.29,1.280000000000001,-1.2677376108943506,1.1364104185069341,1.0,-1.0,1.0
1.3,1.290000000000001,-1.2777376108943506,1.1464104185069341,1.0,-1.0,1.0
1.31,1.300000000000001,-1.2877376108943506,1.1564104185069342,1.0,-1.0,1.0
1.32,1.310000000000001,-1.2977376108943506,1.1664104185069342,1.0,-1.0,1.0
1.33,1.320000000000001,-1.3077376108943506,1.1764104185069342,1.0,-1.0,1.0
1.34,1.330000000000001,-1.3177376108943506,1.1864104185069342,1.0,-1.0,1.0
1.35,1.340000000000001,-1.3277376108943506,1.1964104185069342,1.0,-1.0,1.0
1.36,1.350000000000001,-1.3377376108943506,1.2064104185069342,1.0,-1.0,1.0
1.37,1.360000000000001,-1.3477376108943506,1.2164104185069342,1.0,-1.0,1.0
1.3800000000000001,1.370000000000001,-1.3577376108943506,1.2264104185069342,1.0,-1.0,1.0
1.3900000000000001,1.380000000000001,-1.3677376108943506,1.2364104185069342,1.0,-1.0,1.0
1.4000000000000001,1.390000000000001,-1.3777376108943507,1.2464104185069342,1.0,-1.0,1.0
1.41,1.400000000000001,-1.3877376108943507,1.2564104185069342,1.0,-1.0,1.0
1.42,1.410000000000001,-1.3977376108943507,1.2664104185069343,1.0,-1.0,1.0
1.43,1.420000000000001,-1.4077376108943507,1.2764104185069343,1.0,-1.0,1.0
1.44,1.430000000000001,-1.4177376108943507,1.2864104185069343,1.0,-1.0,1.0
1.45,1.440000000000001,-1.4277376108943507,1.2964104185069343,1.0,-1.0,1.0
1.46,1.450000000000001,-1.4377376108943507,1.3064104185069343,1.0,-1.0,1.0
1.47,1.460000000000001,-1.4477376108943507,1.3164104185069343,1.0,-1.0,1.0
1.48,1.470000000000001,-1.4577376108943507,1.3264104185069343,1.0,-1.0,1.0
1.49,1.480000000000001,-1.4677376108943507,1.3364104185069343,1.0,-1.0,1.0
1.5,1.490000000000001,-1.4777376108943507,1.3464104185069343,1.0,-1.0,1.0
1.51,1.500000000000001,-1.4877376108943507,1.3564104185069343,1.0,-1.0,1.0
1.52,1.5100000000000011,-1.4977376108943508,1.3664104185069343,1.0,-1.0,1.0
1.53,1.5200000000000011,-1.5077376108943508,1.3764104185069344,1.0,-1.0,1.0
1.54,1.5300000000000011,-1.5177376108943508,1.3864104185069344,1.0,-1.0,1.0
1.55,1.5400000000000011,-1.5277376108943508,1.3964104185069344,1.0,-1.0,1.0
1.56,1.5500000000000012,-1.5377376108943508,1.4064104185069344,1.0,-1.0,1.0
1.57,1.5600000000000012,-1.5477376108943508,1.4164104185069344,1.0,-1.0,1.0
1.58,1.5700000000000012,-1.5577376108943508,1.4264104185069344,1.0,-1.0,1.0
1.59,1.5800000000000012,-1.5677376108943508,1.4364104185069344,1.0,-1.0,1.0
1.6,1.5900000000000012,-1.5777376108943508,1.4464104185069344,1.0,-1.0,1.0
1.61,1.6000000000000012,-1.5877376108943508,1.4564104185069344,1.0,-1.0,1.0
1.62,1.6100000000000012,-1.5977376108943508,1.4664104185069344,1.0,-1.0,1.0
1.6300000000000001,1.6200000000000012,-1.6077376108943509,1.4764104185069344,1.0,-1.0,1.0
1.6400000000000001,1.6300000000000012,-1.6177376108943509,1.4864104185069344,1.0,-1.0,1.0
1.6500000000000001,1.6400000000000012,-1.6277376108943509,1.4964104185069345,1.0,-1.0,1.0
1.6600000000000001,1.6500000000000012,-1.6377376108943509,1.5064104185069345,1.0,-1.0,1.0
1.67,1.6600000000000013,-1.647737610894351,1.5164104185069345,1.0,-1.0,1.0
1.68,1.6700000000000013,-1.657737610894351,1.5264104185069345,1.0,-1.0,1.0
1.69,1.6800000000000013,-1.667737610894351,1.5364104185069345,1.0,-1.0,1.0
1.7,1.6900000000000013,-1.677737610894351,1.5464104185069345,1.0,-1.0,1.0
1.71,1.7000000000000013,-1.687737610894351,1.5564104185069345,1.0,-1.0,1.0
1.72,1.7100000000000013,-1.697737610894351,1.5664104185069345,1.0,-1.0,1.0
1.73,1.7200000000000013,-1.707737610894351,1.5764104185069345,1.0,-1.0,1.0
1.74,1.7300000000000013,-1.717737610894351,1.5864104185069345,1.0,-1.0,1.0
1.75,1.7400000000000013,-1.727737610894351,1.5964104185069345,1.0,-1.0,1.0
1.76,1.7500000000000013,-1.737737610894351,1.6064104185069346,1.0,-1.0,1.0
1.77,1.7600000000000013,-1.747737610894351,1.6164104185069346,1.0,-1.0,1.0
1.78,1.7700000000000014,-1.757737610894351,1.6264104185069346,1.0,-1.0,1.0
1.79,1.7800000000000014,-1.767737610894351,1.6364104185069346,1.0,-1.0,1.0
1.8,1.7900000000000014,-1.777737610894351,1.6464104185069346,1.0,-1.0,1.0
1.81,1.8000000000000014,-1.787737610894351,1.6564104185069346,1.0,-1.0,1.0
1.82,1.8100000000000014,-1.797737610894351,1.6664104185069346,1.0,-1.0,1.0
1.83,1.8200000000000014,-1.807737610894351,1.6764104185069346,1.0,-1.0,1.0
1.84,1.8300000000000014,-1.817737610894351,1.6864104185069346,1.0,-1.0,1.0
1.85,1.8400000000000014,-1.827737610894351,1.6964104185069346,1.0,-1.0,1.0
1.86,1.8500000000000014,-1.837737610894351,1.7064104185069346,1.0,-1.0,1.0
1.87,1.8600000000000014,-1.847737610894351,1.7164104185069347,1.0,-1.0,1.0
1.8800000000000001,1.8700000000000014,-1.857737610894351,1.7264104185069347,1.0,-1.0,1.0
1.8900000000000001,1.8800000000000014,-1.867737610894351,1.7364104185069347,1.0,-1.0,1.0
1.9000000000000001,1.8900000000000015,-1.877737610894351,1.7464104185069347,1.0,-1.0,1.0
1.9100000000000001,1.9000000000000015,-1.887737610894351,1.7564104185069347,1.0,-1.0,1.0
1.92,1.9100000000000015,-1.8977376108943511,1.7664104185069347,1.0,-1.0,1.0
1.93,1.9200000000000015,-1.9077376108943511,1.7764104185069347,1.0,-1.0,1.0
